
Pkg                                                          Img                               Frames Size      AvgKB
sprite_character_fighter_effect_dragonmine                   dragonmine_boom.img                   25 180 x 83  130.9
sprite_character_fighter_effect_giantswing                   hit_d.img                              6 55 x 56    17.1
sprite_character_fighter_effect_hurricanesp                  boom2.img                              8 161 x 174  22.5
sprite_character_fighter_effect_hurricanesp                  boom8.img                             12 186 x 164  28.3
sprite_character_fighter_effect_lightningdance               shock.img                              4 141 x 134  11.3
sprite_character_fighter_effect_nenguardex                   spark.img                              6 69 x 234   60.5
sprite_character_fighter_effect_nenofbrilliance              shock_black.img                        3 214 x 185  11.1
sprite_character_fighter_effect_poisonexplosion              00_shockwave_d.img                    11 75 x 99   103.4
sprite_character_fighter_effect_poisonexplosion              00_shockwave_n.img                    11 122 x 130  61.6
sprite_character_fighter_effect_poisonexplosion              01_shockwave_d.img                     8 96 x 147  117.9
sprite_character_fighter_effect_poisonmist                   03_explosion01_d.img                   6 83 x 85    46.3
sprite_character_fighter_effect_poisonsnake                  boom_01.img                            9 163 x 120  50.8
sprite_character_fighter_effect_poisonsnake                  boom_dodge.img                         8 168 x 168  33.2
sprite_character_fighter_effect_poisonsnake                  shock_01.img                           4 28 x 80    12.2
sprite_character_fighter_effect_poisonsnake                  wave-explode.img                      11 220 x 220  59.6
sprite_character_fighter_effect_risingupperex                start_hit_dodge_up.img                 5 5 x 252    43.5
sprite_character_fighter_effect_saintillusion                explode_dodge.img                     15 252 x 252    85
sprite_character_gunner_effect                               chn_napalmbombexplosionnormal.img      5 224 x 229  68.1
sprite_character_gunner_effect                               napalmbombexplosiondodge.img           7 210 x 182  40.2
sprite_character_gunner_effect_ancienttrigger                full_spark_dodge.img                   2 148 x 7      20
sprite_character_gunner_effect_attwingunblade                finish_final_slash.img                 6 85 x 21    80.7
sprite_character_gunner_effect_attwingunblade                knfatk_white_normal.img                8 152 x 154   8.6
sprite_character_gunner_effect_c4remote                      hit.img                                3 82 x 82     8.1
sprite_character_gunner_effect_doublegunhawk                 explode1.img                           3 51 x 56     4.7
sprite_character_gunner_effect_doublegunhawk                 explode2.img                           3 67 x 66     7.9
sprite_character_gunner_effect_doublegunhawk                 explode4.img                           4 52 x 42     6.3
sprite_character_gunner_effect_empstorm                      emp_spark.img                          7 43 x 216   66.7
sprite_character_gunner_effect_flashmine                     shock.img                              3 107 x 32    4.8
sprite_character_gunner_effect_flashmineex                   bombexplosiondodge.img                 7 193 x 158    47
sprite_character_gunner_effect_g0                            explo_dodge.img                        6 57 x 46     6.7
sprite_character_gunner_effect_g0                            explo_nomal.img                        6 59 x 83     5.8
sprite_character_gunner_effect_g0                            g0_laser_ball_spark.img                6 29 x 37     1.7
sprite_character_gunner_effect_g0                            g0_union_body_glow_spark.img           3 79 x 77     4.6
sprite_character_gunner_effect_g1                            g1_spark.img                           3 79 x 78     5.5
sprite_character_gunner_effect_g2                            g2_spark.img                           4 131 x 131  13.4
sprite_character_gunner_effect_hiteffect                     collisionfloor.img                     4 29 x 16     0.4
sprite_character_gunner_effect_hiteffect                     collisionwall.img                      3 19 x 19     0.3
sprite_character_gunner_effect_hiteffect                     steyrhiteffect.img                     5 30 x 32     0.4
sprite_character_gunner_effect_hiteffect_suddendeath         starthit.img                           2 86 x 118   24.5
sprite_character_gunner_effect_nielsniping                   hit.img                                7 129 x 116  33.6
sprite_character_gunner_effect_satelaser                     spark.img                              3 160 x 103  13.3



